Filename,Policy Number,Policy Name,Effective Date,Review Due Date,Document Type
01-001-00_CHN_Manual_Introduction_and_Organization.pdf,01-001-01,CHN Manual Introduction and Organization,"'January 1, 2018","'January 1, 2021",Policy
02-001-00_Philosophy_of_Nursing.pdf,02-001-00,Philosophy of Nursing,"'February 1, 2018","'February 1, 2021",Policy
02-002-00_Core_Community_Health_Nursing_Programs.pdf,02-002-00,Core Community Health Nursing Programs,"'February 1, 2018","'February 1, 2021",Policy
02-003-00_Structural_Objectives_and_Indicators.pdf,02-003-00,Structural Objectives and Indicators,"'February 1, 2018","'February 1, 2021",Policy
03-001-00_Definition_of_Terms.pdf,03-001-00,Definition of Terms,"'January 1, 2018",44927,Policy
03-002-00_Common_GN_Acronyms.pdf,03-002-00,Common GN Acronyms,"'January 1, 2018","'January 1, 2023",Policy
03-003-00_Common_Abbreviations.pdf,03-003-00,Common Abbreviations,"'January 1, 2018","'January 1, 2023",Policy
04-001-00_Care_Standard_Review_Process.pdf,04-001-00,Care Standard Review Process,"'February 1, 2018","'February 1, 2021",Policy
04-002-00_Clinical_Chart_Audit_Tool.pdf,04-002-00,Clinical Chart Audit Tool,"'February 1, 2018","'February 1, 2021",Policy
04-004-00_Health_Centre_Documentation_Audit.pdf,04-004-00,Health Centre Documentation Audit,"'July 1, 2020","'July 1, 2023",Policy
05-001-00_Nursing_Policy_Manual_Maintenance.pdf,05-001-00,Nursing Policy Manual Maintenance,"'February 1, 2018","'February 1, 2021",Policy
05-005-00_Critical_Incident_Stress_Management.pdf,05-005-00,Critical Incident Stress Management,"'February 1, 2018","'February 1, 2021",Policy
05-006-00_Employer_Responsibilities.pdf,05-006-00,Employer Responsibilities,"'July 1, 2022","'July 1, 2023",Policy
05-007-00_Employee_Responsibilities.pdf,05-007-00,Employee Responsibilities,"'July 1, 2022","'July 1, 2023",Policy
05-008-00_Additional_Nursing_Functions.pdf,05-008-00,Additional Nursing Functions,"'February 1, 2018","'February 1, 2021",Policy
05-009-00_Transferred_Functions.pdf,05-009-00,Transferred Functions,"'December 1, 2021","'December 1, 2024",Policy
05-010-00_Competency_for_Transferred_Functions.pdf,05-010-00,Competency for Transferred Functions,"'December 1, 2021","'December 1, 2024",Policy
